Wed Apr 02 00:27:14 2025


Number of Points = 4490

Depth (nm)	Load (µN)	Time (s)	Disp. Voltage(V)	Force Voltage(V)
0.000000	5.993854	0.000000	0.002505	0.419172
0.293175	10.920955	0.005005	0.002435	0.434672
0.314048	15.931213	0.010010	0.002430	0.449585
0.895042	20.747869	0.015014	0.002291	0.464060
1.104132	25.704981	0.020019	0.002241	0.478103
1.300894	30.661192	0.025024	0.002193	0.491730
1.478641	35.630597	0.030029	0.002151	0.505006
1.600932	40.614521	0.035034	0.002121	0.517926
1.895641	45.535429	0.040038	0.002051	0.530534
2.171920	50.451368	0.045043	0.001985	0.542820
2.398284	55.417726	0.050048	0.001930	0.554909
2.564589	60.378431	0.055053	0.001890	0.566676
2.587685	65.393217	0.060058	0.001885	0.578206
2.939969	70.315817	0.065062	0.001800	0.589576
2.901957	75.348855	0.070067	0.001809	0.600657
3.122206	80.310557	0.075072	0.001756	0.611589
3.526720	85.178685	0.080077	0.001660	0.622275
3.588582	90.207592	0.085082	0.001645	0.632851
3.618299	95.208318	0.090086	0.001637	0.643172
3.938273	100.136555	0.095091	0.001561	0.653399
3.991848	105.130032	0.100096	0.001548	0.663403
4.236873	110.081538	0.105101	0.001489	0.673314
4.488429	114.995151	0.110106	0.001429	0.683013
4.497089	120.030132	0.115110	0.001426	0.692637
4.803811	124.922550	0.120115	0.001353	0.702067
4.910500	129.945505	0.125120	0.001327	0.711477
5.063757	134.893919	0.130125	0.001291	0.720660
5.266824	139.873556	0.135130	0.001242	0.729816
5.371149	144.839681	0.140134	0.001217	0.738770
5.551143	149.847984	0.145139	0.001174	0.747740
5.751423	154.788937	0.150144	0.001126	0.756500
5.777196	159.799914	0.155149	0.001119	0.765169
6.021355	164.741767	0.160154	0.001061	0.773760
5.993263	169.760474	0.165158	0.001067	0.782217
6.197864	174.767828	0.170163	0.001018	0.790707
6.461332	179.674005	0.175168	0.000955	0.798976
6.470580	184.721719	0.180173	0.000953	0.807239
6.602863	189.693666	0.185178	0.000921	0.815369
6.948354	194.583066	0.190182	0.000838	0.823411
6.894807	199.674016	0.195187	0.000851	0.831463
7.162901	204.572647	0.200192	0.000787	0.839321
7.174949	209.624939	0.205197	0.000783	0.847199
7.308718	214.580645	0.210202	0.000751	0.854925
7.482858	219.531162	0.215206	0.000710	0.862595
7.770043	224.505565	0.220211	0.000641	0.870297
7.849288	229.476247	0.225216	0.000622	0.877811
8.001224	234.467977	0.230221	0.000585	0.885333
8.091404	239.450385	0.235226	0.000563	0.892744
8.132033	244.445778	0.240230	0.000554	0.900086
8.359108	249.470235	0.245235	0.000499	0.907510
8.477646	254.424538	0.250240	0.000471	0.914716
8.582878	259.393238	0.255245	0.000445	0.921879
8.687013	264.424824	0.260250	0.000420	0.929075
8.823013	269.387676	0.265254	0.000388	0.936135
8.852824	274.390695	0.270259	0.000380	0.943145
