Number of Data Points = 10
        
File	hc(nm)	Pmax(µN)	S(µN/nm)	A(nm^2)	hmax(nm)	heff(nm)	Er(GPa)	H(GPa)	A	hf(nm)	m	X(mm)	Y(mm)	Drift(nm/s)
Method 1_20260301_1720_00000.hys	69.683107	10243.584774	188.788089	250615.433740	110.398014	110.377880	334.122339	40.873719	16.110492	30.437201	1.473298	-47.324000	-28.787900	0.076660
Method 1_20260301_1723_00001.hys	70.319692	10242.007730	190.603443	254011.214275	110.737909	110.620674	335.072761	40.321085	11.818644	28.224858	1.533384	-47.324000	-28.777900	-0.020092
Method 1_20260301_1726_00002.hys	71.309404	10243.723395	189.445155	259330.212983	111.866773	111.863582	329.603468	39.500694	14.447422	31.053704	1.494480	-47.324000	-28.768000	-0.001186
Method 1_20260301_1729_00003.hys	68.344631	10242.944263	186.804449	243540.430179	109.538480	109.468963	335.379497	42.058496	9.777853	23.791157	1.562539	-47.324000	-28.758000	-0.007971
Method 1_20260301_1733_00004.hys	72.191099	10243.447291	191.665026	264109.215121	112.469340	112.274497	330.434910	38.784892	15.817177	33.130012	1.480872	-47.324000	-28.748000	0.004484
Method 1_20260301_1736_00005.hys	70.509239	10243.613176	189.892978	255026.167030	111.006475	110.967343	333.158855	40.166910	15.151393	30.789939	1.486304	-47.324000	-28.738000	-0.006692
Method 1_20260301_1739_00006.hys	70.555396	10242.448390	189.356785	255273.592376	111.078187	111.123450	332.057089	40.123415	13.784577	29.821442	1.503067	-47.324000	-28.727500	0.013332
Method 1_20260301_1742_00007.hys	67.138110	10243.226915	184.551907	237238.318967	108.755837	108.765532	335.707425	43.176949	11.993916	24.313400	1.521571	-47.324000	-28.717900	0.019233
Method 1_20260301_1745_00008.hys	70.715402	10242.287894	188.024203	256132.101700	111.459569	111.570333	329.167219	39.988302	14.153566	30.066673	1.496215	-47.324000	-28.707900	0.027014
Method 1_20260301_1748_00009.hys	70.186773	10242.723268	187.438559	253300.530683	111.213264	111.171096	329.970956	40.437038	12.890775	28.512571	1.512625	-47.324000	-28.697400	0.014614
