Number of Data Points = 10
        
File	hc(nm)	Pmax(µN)	S(µN/nm)	A(nm^2)	hmax(nm)	heff(nm)	Er(GPa)	H(GPa)	A	hf(nm)	m	X(mm)	Y(mm)	Drift(nm/s)
Method 1_20260301_1645_00000.hys	72.514333	10241.186880	191.743959	265870.783854	112.673472	112.572389	329.474047	38.519414	10.090102	29.023089	1.564279	-47.361500	-28.787900	-0.107246
Method 1_20260301_1648_00001.hys	71.046995	10243.209709	189.258257	257915.267308	111.666870	111.639186	330.180285	39.715407	13.677965	30.219191	1.504353	-47.361500	-28.777900	0.012625
Method 1_20260301_1652_00002.hys	68.545996	10243.246469	188.313546	244599.197818	109.390529	109.341972	337.356339	41.877678	15.227519	28.670628	1.483075	-47.361500	-28.768000	-0.013151
Method 1_20260301_1655_00003.hys	69.949799	10243.481622	190.245058	252035.648013	110.400692	110.332510	335.750932	40.642987	13.731187	29.293501	1.505081	-47.361500	-28.758000	-0.038438
Method 1_20260301_1658_00004.hys	68.292167	10243.186250	185.526123	243264.902409	109.858946	109.700835	333.273030	42.107127	8.774776	22.445339	1.580385	-47.361500	-28.748000	-0.019549
Method 1_20260301_1701_00005.hys	71.960282	10242.889637	190.531062	262854.442113	112.306172	112.280045	329.263020	38.967915	13.832479	31.417794	1.504143	-47.361500	-28.738000	-0.027748
Method 1_20260301_1704_00006.hys	70.873564	10242.772577	189.831033	256981.956412	111.390234	111.341549	331.780397	39.857945	14.056813	30.398247	1.500136	-47.361500	-28.727900	-0.007925
Method 1_20260301_1707_00007.hys	72.124603	10242.666882	191.919470	263747.456117	112.240090	112.151809	331.100415	38.835131	15.583029	32.950191	1.484021	-47.361500	-28.717900	-0.006713
Method 1_20260301_1710_00008.hys	67.726195	10244.268885	186.840907	240301.176274	108.864165	108.847820	337.698278	42.630956	7.729059	20.813950	1.605613	-47.361500	-28.707900	0.000045
Method 1_20260301_1713_00009.hys	66.155475	10243.234308	188.998561	232158.474742	106.927861	106.803540	347.537005	44.121733	11.345915	23.420304	1.538509	-47.361500	-28.697400	-0.000161
